item_id,instrument,construct_reported,text,lang,is_reverse_keyed,source_ref,year,respondents,text_norm,is_empty
it_000025,AI competency self-assessment questionnaire,"Knowledge of the existence and potential of AI tools, understanding of how these tools could be integrated in learning, and a conceptual understanding of the criteria for the selection and use of AI resources.","I have tried using an AI tool at least once to plan a lesson or engage AI tools in the learning process, supporting the students鈥?learning process (for example, please prepare lesson ideas, make a presentation, check facts).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i have tried using an ai tool at least once to plan a lesson or engage ai tools in the learning process, supporting the students鈥?learning process (for example, please prepare lesson ideas, make a presentation, check facts).",FALSE
it_000026,AI competency self-assessment questionnaire,"Knowledge of the existence and potential of AI tools, understanding of how these tools could be integrated in learning, and a conceptual understanding of the criteria for the selection and use of AI resources.","I use AI tools to support the learning process of students, and different learning needs and abilities navigate the diverse AI tools with a basic understanding of their underlying AI mechanisms (e.g., offer students with dyslexia text-to-speech tools, ask students to check their answers with the AI tool help).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i use ai tools to support the learning process of students, and different learning needs and abilities navigate the diverse ai tools with a basic understanding of their underlying ai mechanisms (e.g., offer students with dyslexia text-to-speech tools, ask students to check their answers with the ai tool help).",FALSE
it_000027,AI competency self-assessment questionnaire,"Knowledge of the existence and potential of AI tools, understanding of how these tools could be integrated in learning, and a conceptual understanding of the criteria for the selection and use of AI resources.","I analyze and select AI tools based on their impact on outcomes, relevance to the learning program, and ethical considerations (e.g., I choose a text-generating AI tool to teach students critical evaluation of historical facts).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i analyze and select ai tools based on their impact on outcomes, relevance to the learning program, and ethical considerations (e.g., i choose a text-generating ai tool to teach students critical evaluation of historical facts).",FALSE
it_000028,AI competency self-assessment questionnaire,"Knowledge of the existence and potential of AI tools, understanding of how these tools could be integrated in learning, and a conceptual understanding of the criteria for the selection and use of AI resources.","I evaluate the effectiveness of AI tools in my practice and am aware of how they support the learning process of my students (e.g., assessing whether the use of AI has improved motivation and/or understanding in a science subject).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i evaluate the effectiveness of ai tools in my practice and am aware of how they support the learning process of my students (e.g., assessing whether the use of ai has improved motivation and/or understanding in a science subject).",FALSE
it_000029,AI competency self-assessment questionnaire,"Knowledge of the existence and potential of AI tools, understanding of how these tools could be integrated in learning, and a conceptual understanding of the criteria for the selection and use of AI resources.","I encourage and support my colleagues to responsibly integrate AI tools into other subjects, and I share resources that can improve their understanding and use of AI in education (e.g., proposing a collaborative platform in which to share AI tools to tailor learning activities to individual student needs).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i encourage and support my colleagues to responsibly integrate ai tools into other subjects, and i share resources that can improve their understanding and use of ai in education (e.g., proposing a collaborative platform in which to share ai tools to tailor learning activities to individual student needs).",FALSE
it_000030,AI competency self-assessment questionnaire,"Knowledge of the existence and potential of AI tools, understanding of how these tools could be integrated in learning, and a conceptual understanding of the criteria for the selection and use of AI resources.",Do not know about this competency.,en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,do not know about this competency.,FALSE
it_000031,AI competency self-assessment questionnaire,Identification: Ability to identify and understand the basic principles of using AI,"I am aware that AI technologies are constantly evolving; I am aware of the latest developments and their potential impact on education (e.g., reading about the latest AI language processing tools that could help with language learning).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i am aware that ai technologies are constantly evolving; i am aware of the latest developments and their potential impact on education (e.g., reading about the latest ai language processing tools that could help with language learning).",FALSE
it_000032,AI competency self-assessment questionnaire,Identification: Ability to identify and understand the basic principles of using AI,"I have tried experimenting with different AI tools to innovate, improve teaching methods, and boost student motivation (e.g., using AI tools to promote creativity and writing skills).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i have tried experimenting with different ai tools to innovate, improve teaching methods, and boost student motivation (e.g., using ai tools to promote creativity and writing skills).",FALSE
it_000033,AI competency self-assessment questionnaire,Identification: Ability to identify and understand the basic principles of using AI,"I use critical thinking to assess the credibility of AI-generated content and ensure that it is appropriate for educational use (for example, checking the sources from which the content of the AI-generated historical description was obtained).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i use critical thinking to assess the credibility of ai-generated content and ensure that it is appropriate for educational use (for example, checking the sources from which the content of the ai-generated historical description was obtained).",FALSE
it_000034,AI competency self-assessment questionnaire,Identification: Ability to identify and understand the basic principles of using AI,"I analyze and select AI content that meets ethical standards and promotes an inclusive and fair environment (e.g., ensuring that an assessment tool based on AI principles is as objective as possible).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i analyze and select ai content that meets ethical standards and promotes an inclusive and fair environment (e.g., ensuring that an assessment tool based on ai principles is as objective as possible).",FALSE
it_000035,AI competency self-assessment questionnaire,Identification: Ability to identify and understand the basic principles of using AI,"I evaluate my students鈥?interactions with AI technologies and adjust my teaching methods to address identified problems (for example, I observed changes in how students solve problem questions with the help of AI).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i evaluate my students鈥?interactions with ai technologies and adjust my teaching methods to address identified problems (for example, i observed changes in how students solve problem questions with the help of ai).",FALSE
it_000036,AI competency self-assessment questionnaire,Identification: Ability to identify and understand the basic principles of using AI,"I propose and support workshops and seminars to promote AI literacy among colleagues and students, creating a school environment that is aware of the benefits and challenges of AI in education (e.g., conducting a workshop on the ethics of AI classroom use).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i propose and support workshops and seminars to promote ai literacy among colleagues and students, creating a school environment that is aware of the benefits and challenges of ai in education (e.g., conducting a workshop on the ethics of ai classroom use).",FALSE
it_000037,AI competency self-assessment questionnaire,Identification: Ability to identify and understand the basic principles of using AI,Do not know about this competency.,en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,do not know about this competency.,FALSE
it_000038,AI competency self-assessment questionnaire,"Practical experience: Hands-on experience using AI tools, including ability to use AI tools and integrate multiple AI resources for different purposes and improve your personal skills.","I am aware of my level of expertise in working with AI tools and am actively looking for opportunities to improve my skills (e.g., participating in professional development courses on AI education tools).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i am aware of my level of expertise in working with ai tools and am actively looking for opportunities to improve my skills (e.g., participating in professional development courses on ai education tools).",FALSE
it_000039,AI competency self-assessment questionnaire,"Practical experience: Hands-on experience using AI tools, including ability to use AI tools and integrate multiple AI resources for different purposes and improve your personal skills.","I have tried to integrate various AI technologies into my teaching process, learning from both successes and failures (for example, experimenting with different AI tools to determine which ones work best for my teaching style).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i have tried to integrate various ai technologies into my teaching process, learning from both successes and failures (for example, experimenting with different ai tools to determine which ones work best for my teaching style).",FALSE
it_000040,AI competency self-assessment questionnaire,"Practical experience: Hands-on experience using AI tools, including ability to use AI tools and integrate multiple AI resources for different purposes and improve your personal skills.","I use AI tools not only for their novelty but also as effective solutions for specific learning goals and tasks (for example, consistently using AI for personalized learning to adapt to each student鈥檚 tempo and style).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i use ai tools not only for their novelty but also as effective solutions for specific learning goals and tasks (for example, consistently using ai for personalized learning to adapt to each student鈥檚 tempo and style).",FALSE
it_000041,AI competency self-assessment questionnaire,"Practical experience: Hands-on experience using AI tools, including ability to use AI tools and integrate multiple AI resources for different purposes and improve your personal skills.","I analyze and select AI tools not only based on their popularity but also by carefully evaluating their functionality and impact on student learning (e.g., selecting AI tools after evaluating their success in similar scenarios).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i analyze and select ai tools not only based on their popularity but also by carefully evaluating their functionality and impact on student learning (e.g., selecting ai tools after evaluating their success in similar scenarios).",FALSE
it_000042,AI competency self-assessment questionnaire,"Practical experience: Hands-on experience using AI tools, including ability to use AI tools and integrate multiple AI resources for different purposes and improve your personal skills.","I evaluate how I use AI tools to ensure that they are used effectively and meaningfully to support the student learning process and not replace essential human aspects (for example, considering how AI has changed the learner鈥檚 problem-solving skills).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i evaluate how i use ai tools to ensure that they are used effectively and meaningfully to support the student learning process and not replace essential human aspects (for example, considering how ai has changed the learner鈥檚 problem-solving skills).",FALSE
it_000043,AI competency self-assessment questionnaire,"Practical experience: Hands-on experience using AI tools, including ability to use AI tools and integrate multiple AI resources for different purposes and improve your personal skills.","I propose and support my colleagues in adopting effective strategies for using practical AI tools for use in the classroom based on my experience and understanding of these tools (e.g., organizing experiences sharing sessions where teachers can share AI lesson plans and discuss how AI tools have improved the student learning outcomes).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i propose and support my colleagues in adopting effective strategies for using practical ai tools for use in the classroom based on my experience and understanding of these tools (e.g., organizing experiences sharing sessions where teachers can share ai lesson plans and discuss how ai tools have improved the student learning outcomes).",FALSE
it_000044,AI competency self-assessment questionnaire,"Practical experience: Hands-on experience using AI tools, including ability to use AI tools and integrate multiple AI resources for different purposes and improve your personal skills.",Do not know about this competency.,en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,do not know about this competency.,FALSE
it_000045,AI competency self-assessment questionnaire,"Evaluation: The ability to critically evaluate the importance of AI in the learning process, not only ensuring the effective use of AI but also to understand and reflect on the wider implications of integrating AI into the learning process.","I recognize the need to critically evaluate AI tools, not only by evaluating their basic functionality but also by taking into account the algorithms they use, the reliability of the data, and the ethical implications (for example, realizing that an AI reading assistant recommendation depends on its training data, which may affect its neutrality).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i recognize the need to critically evaluate ai tools, not only by evaluating their basic functionality but also by taking into account the algorithms they use, the reliability of the data, and the ethical implications (for example, realizing that an ai reading assistant recommendation depends on its training data, which may affect its neutrality).",FALSE
it_000046,AI competency self-assessment questionnaire,"Evaluation: The ability to critically evaluate the importance of AI in the learning process, not only ensuring the effective use of AI but also to understand and reflect on the wider implications of integrating AI into the learning process.","I have tried to evaluate the results provided by the AI tool to understand their reliability and accuracy (e.g., comparing AI-generated ratings with manual ratings to identify discrepancies).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i have tried to evaluate the results provided by the ai tool to understand their reliability and accuracy (e.g., comparing ai-generated ratings with manual ratings to identify discrepancies).",FALSE
it_000047,AI competency self-assessment questionnaire,"Evaluation: The ability to critically evaluate the importance of AI in the learning process, not only ensuring the effective use of AI but also to understand and reflect on the wider implications of integrating AI into the learning process.","I use certain criteria to systematically evaluate AI tools before integrating them into practice, focusing on their educational value, user experience, and impact on student privacy data (e.g., using criteria to evaluate the accuracy of feedback provided by an AI-based writing aid).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i use certain criteria to systematically evaluate ai tools before integrating them into practice, focusing on their educational value, user experience, and impact on student privacy data (e.g., using criteria to evaluate the accuracy of feedback provided by an ai-based writing aid).",FALSE
it_000048,AI competency self-assessment questionnaire,"Evaluation: The ability to critically evaluate the importance of AI in the learning process, not only ensuring the effective use of AI but also to understand and reflect on the wider implications of integrating AI into the learning process.","I analyze and select AI tools not only based on their performance, but also by learning their relevance goals and ethical standards (for example, choosing an AI tool for language learning that meets different learning needs).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i analyze and select ai tools not only based on their performance, but also by learning their relevance goals and ethical standards (for example, choosing an ai tool for language learning that meets different learning needs).",FALSE
it_000049,AI competency self-assessment questionnaire,"Evaluation: The ability to critically evaluate the importance of AI in the learning process, not only ensuring the effective use of AI but also to understand and reflect on the wider implications of integrating AI into the learning process.","I evaluate the effectiveness of AI tools by gathering feedback from students, reviewing performance data, and considering broader learning opportunities (e.g., assessing whether an AI tool improves learning outcomes for a variety of students in groups).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i evaluate the effectiveness of ai tools by gathering feedback from students, reviewing performance data, and considering broader learning opportunities (e.g., assessing whether an ai tool improves learning outcomes for a variety of students in groups).",FALSE
it_000050,AI competency self-assessment questionnaire,"Evaluation: The ability to critically evaluate the importance of AI in the learning process, not only ensuring the effective use of AI but also to understand and reflect on the wider implications of integrating AI into the learning process.","I propose and support colleagues in offering methods to develop evaluation skills for AI tools, emphasizing the importance of a critical approach in the selection and use of these tools (for example, a professional development workshop that focuses on evaluating the ethical considerations of AI in education).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i propose and support colleagues in offering methods to develop evaluation skills for ai tools, emphasizing the importance of a critical approach in the selection and use of these tools (for example, a professional development workshop that focuses on evaluating the ethical considerations of ai in education).",FALSE
it_000051,AI competency self-assessment questionnaire,"Evaluation: The ability to critically evaluate the importance of AI in the learning process, not only ensuring the effective use of AI but also to understand and reflect on the wider implications of integrating AI into the learning process.",Do not know about this competency.,en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,do not know about this competency.,FALSE
it_000052,AI competency self-assessment questionnaire,"Ethical considerations: Ethical aspects of AI technologies, promoting a balanced approach that considers both integrations of AI benefits as well as potential ethical issues.","I am aware of the ethical implications of using AI tools in the classroom, including privacy concerns, data security, and potential bias (e.g., understanding the importance of consent when using student data to operate with AI tools).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i am aware of the ethical implications of using ai tools in the classroom, including privacy concerns, data security, and potential bias (e.g., understanding the importance of consent when using student data to operate with ai tools).",FALSE
it_000053,AI competency self-assessment questionnaire,"Ethical considerations: Ethical aspects of AI technologies, promoting a balanced approach that considers both integrations of AI benefits as well as potential ethical issues.","I have tried to engage in discussions and professional development programs about the ethical use of AI in education (for example, participating in a workshop on ethical AI practices and their importance in protecting student privacy).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i have tried to engage in discussions and professional development programs about the ethical use of ai in education (for example, participating in a workshop on ethical ai practices and their importance in protecting student privacy).",FALSE
it_000054,AI competency self-assessment questionnaire,"Ethical considerations: Ethical aspects of AI technologies, promoting a balanced approach that considers both integrations of AI benefits as well as potential ethical issues.","I use guidelines and best practices for the ethical use of artificial intelligence to adopt conscious decisions on the integration of AI tools in the learning process (for example, following the ethical use of AI developed by the EU guidelines for choosing AI tools for classroom use).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i use guidelines and best practices for the ethical use of artificial intelligence to adopt conscious decisions on the integration of ai tools in the learning process (for example, following the ethical use of ai developed by the eu guidelines for choosing ai tools for classroom use).",FALSE
it_000055,AI competency self-assessment questionnaire,"Ethical considerations: Ethical aspects of AI technologies, promoting a balanced approach that considers both integrations of AI benefits as well as potential ethical issues.","I analyze and select AI tools not only for their benefits in the learning process but also for their ethical standards, ensuring that they promote equality and do not discriminate (e.g., by checking the MI reading tool for bias in language and representation).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i analyze and select ai tools not only for their benefits in the learning process but also for their ethical standards, ensuring that they promote equality and do not discriminate (e.g., by checking the mi reading tool for bias in language and representation).",FALSE
it_000056,AI competency self-assessment questionnaire,"Ethical considerations: Ethical aspects of AI technologies, promoting a balanced approach that considers both integrations of AI benefits as well as potential ethical issues.","I evaluate the ethical implications of using artificial intelligence in my practice, taking into account both the immediate impact on students and their achievements as well as a wider impact on society (for example, evaluating the long-term impact that results from reliance on AI for personalized learning).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i evaluate the ethical implications of using artificial intelligence in my practice, taking into account both the immediate impact on students and their achievements as well as a wider impact on society (for example, evaluating the long-term impact that results from reliance on ai for personalized learning).",FALSE
it_000057,AI competency self-assessment questionnaire,"Ethical considerations: Ethical aspects of AI technologies, promoting a balanced approach that considers both integrations of AI benefits as well as potential ethical issues.","I propose and support colleagues and IT administrators in the development of strategies and policies that prioritize ethical considerations in the implementation and use of AI technologies in education (for example, recommending the development of school-wide policies on the ethical use of AI, which include regular review and updating based on new best practices).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i propose and support colleagues and it administrators in the development of strategies and policies that prioritize ethical considerations in the implementation and use of ai technologies in education (for example, recommending the development of school-wide policies on the ethical use of ai, which include regular review and updating based on new best practices).",FALSE
it_000058,AI competency self-assessment questionnaire,"Ethical considerations: Ethical aspects of AI technologies, promoting a balanced approach that considers both integrations of AI benefits as well as potential ethical issues.",Do not know about this competency.,en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,do not know about this competency.,FALSE
it_000059,AI competency self-assessment questionnaire,"Algorithmic thinking: Algorithmic thinking skills and how these skills contribute to general AI literacy. The purpose is to promote a proactive approach to developing these competencies, recognizing their value in moving forward more digital and AI-integrated educational environments.","I am aware of the principles of algorithmic thinking, including problem decomposition, algorithm recognition, and abstraction and algorithm development (for example, understanding how breaking down a complex problem into smaller parts can help develop solutions).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i am aware of the principles of algorithmic thinking, including problem decomposition, algorithm recognition, and abstraction and algorithm development (for example, understanding how breaking down a complex problem into smaller parts can help develop solutions).",FALSE
it_000060,AI competency self-assessment questionnaire,"Algorithmic thinking: Algorithmic thinking skills and how these skills contribute to general AI literacy. The purpose is to promote a proactive approach to developing these competencies, recognizing their value in moving forward more digital and AI-integrated educational environments.","I have tried to get into coding and programming courses to improve my algorithmic thinking skills (e.g., taking a Python coding workshop to understand the logic of algorithmic thinking).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i have tried to get into coding and programming courses to improve my algorithmic thinking skills (e.g., taking a python coding workshop to understand the logic of algorithmic thinking).",FALSE
it_000061,AI competency self-assessment questionnaire,"Algorithmic thinking: Algorithmic thinking skills and how these skills contribute to general AI literacy. The purpose is to promote a proactive approach to developing these competencies, recognizing their value in moving forward more digital and AI-integrated educational environments.","I use algorithmic thinking strategies not only in computer science classes but also in other lessons in subjects to promote students鈥?problem-solving skills and creativity (for example, by applying models of the concept of pattern recognition in mathematics to solve complex problems).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i use algorithmic thinking strategies not only in computer science classes but also in other lessons in subjects to promote students鈥?problem-solving skills and creativity (for example, by applying models of the concept of pattern recognition in mathematics to solve complex problems).",FALSE
it_000062,AI competency self-assessment questionnaire,"Algorithmic thinking: Algorithmic thinking skills and how these skills contribute to general AI literacy. The purpose is to promote a proactive approach to developing these competencies, recognizing their value in moving forward more digital and AI-integrated educational environments.","I analyze and select digital tools and resources that support the development of algorithmic thinking skills in students (for example, choosing a coding platform that is age-appropriate and promotes logical thinking).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i analyze and select digital tools and resources that support the development of algorithmic thinking skills in students (for example, choosing a coding platform that is age-appropriate and promotes logical thinking).",FALSE
it_000063,AI competency self-assessment questionnaire,"Algorithmic thinking: Algorithmic thinking skills and how these skills contribute to general AI literacy. The purpose is to promote a proactive approach to developing these competencies, recognizing their value in moving forward more digital and AI-integrated educational environments.","I evaluate how algorithmic thinking improves my ability to understand and apply AI concepts while being aware of its impact on my professional development and teaching practice (for example, considering how learning algorithms has improved my ability to explain MI actions to students).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i evaluate how algorithmic thinking improves my ability to understand and apply ai concepts while being aware of its impact on my professional development and teaching practice (for example, considering how learning algorithms has improved my ability to explain mi actions to students).",FALSE
it_000064,AI competency self-assessment questionnaire,"Algorithmic thinking: Algorithmic thinking skills and how these skills contribute to general AI literacy. The purpose is to promote a proactive approach to developing these competencies, recognizing their value in moving forward more digital and AI-integrated educational environments.","I propose and support initiatives or programs that promote algorithmic thinking and coding skills development among colleagues and students, recognizing the importance of these skills in promoting understanding of AI (for example, organizing the school-wide event 鈥淗our of Code鈥?to introduce everyone to the basics of coding).",en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,"i propose and support initiatives or programs that promote algorithmic thinking and coding skills development among colleagues and students, recognizing the importance of these skills in promoting understanding of ai (for example, organizing the school-wide event 鈥渉our of code鈥?to introduce everyone to the basics of coding).",FALSE
it_000065,AI competency self-assessment questionnaire,"Algorithmic thinking: Algorithmic thinking skills and how these skills contribute to general AI literacy. The purpose is to promote a proactive approach to developing these competencies, recognizing their value in moving forward more digital and AI-integrated educational environments.",Do not know about this competency.,en,FALSE,https://doi.org/10.3390/su162310386,2024,teachers    ,do not know about this competency.,FALSE
it_000066,AI competency self-assessment questionnaire,The digital divide: The role of the educator in bridging the digital divide by emphasizing physical access to AI technologies importance as a cornerstone for developing AI literacy and ensuring that all students have the opportunity to benefit from an AI-enhanced learning experience.,"I recognize the importance of physical access to AI technologies for both myself and my students, realizing that equal access is essential to using these tools in education (e.g., recognizing that all students must have access to AI solutions to learn).",en,FALSE,https://doi.org/10.3390/su162310387,2024,teachers    ,"i recognize the importance of physical access to ai technologies for both myself and my students, realizing that equal access is essential to using these tools in education (e.g., recognizing that all students must have access to ai solutions to learn).",FALSE
it_000067,AI competency self-assessment questionnaire,The digital divide: The role of the educator in bridging the digital divide by emphasizing physical access to AI technologies importance as a cornerstone for developing AI literacy and ensuring that all students have the opportunity to benefit from an AI-enhanced learning experience.,"I have tried to ensure that all students have the opportunity to try out AI tools by actively searching for solutions overcoming barriers to access (for example, allowing students without access to try out AI tools at school for computer equipment at home).",en,FALSE,https://doi.org/10.3390/su162310388,2024,teachers    ,"i have tried to ensure that all students have the opportunity to try out ai tools by actively searching for solutions overcoming barriers to access (for example, allowing students without access to try out ai tools at school for computer equipment at home).",FALSE
