src,dst,rel,weight
it_000062,"Algorithmic thinking: Algorithmic thinking skills and how these skills contribute to general AI literacy. The purpose is to promote a proactive approach to developing these competencies, recognizing their value in moving forward more digital and AI-integrated educational environments.",item_construct,1.0
it_000063,"Algorithmic thinking: Algorithmic thinking skills and how these skills contribute to general AI literacy. The purpose is to promote a proactive approach to developing these competencies, recognizing their value in moving forward more digital and AI-integrated educational environments.",item_construct,1.0
it_000064,"Algorithmic thinking: Algorithmic thinking skills and how these skills contribute to general AI literacy. The purpose is to promote a proactive approach to developing these competencies, recognizing their value in moving forward more digital and AI-integrated educational environments.",item_construct,1.0
it_000065,"Algorithmic thinking: Algorithmic thinking skills and how these skills contribute to general AI literacy. The purpose is to promote a proactive approach to developing these competencies, recognizing their value in moving forward more digital and AI-integrated educational environments.",item_construct,1.0
it_000066,The digital divide: The role of the educator in bridging the digital divide by emphasizing physical access to AI technologies importance as a cornerstone for developing AI literacy and ensuring that all students have the opportunity to benefit from an AI-enhanced learning experience.,item_construct,1.0
it_000067,The digital divide: The role of the educator in bridging the digital divide by emphasizing physical access to AI technologies importance as a cornerstone for developing AI literacy and ensuring that all students have the opportunity to benefit from an AI-enhanced learning experience.,item_construct,1.0
it_000068,The digital divide: The role of the educator in bridging the digital divide by emphasizing physical access to AI technologies importance as a cornerstone for developing AI literacy and ensuring that all students have the opportunity to benefit from an AI-enhanced learning experience.,item_construct,1.0
it_000069,The digital divide: The role of the educator in bridging the digital divide by emphasizing physical access to AI technologies importance as a cornerstone for developing AI literacy and ensuring that all students have the opportunity to benefit from an AI-enhanced learning experience.,item_construct,1.0
it_000070,The digital divide: The role of the educator in bridging the digital divide by emphasizing physical access to AI technologies importance as a cornerstone for developing AI literacy and ensuring that all students have the opportunity to benefit from an AI-enhanced learning experience.,item_construct,1.0
it_000071,The digital divide: The role of the educator in bridging the digital divide by emphasizing physical access to AI technologies importance as a cornerstone for developing AI literacy and ensuring that all students have the opportunity to benefit from an AI-enhanced learning experience.,item_construct,1.0
it_000072,The digital divide: The role of the educator in bridging the digital divide by emphasizing physical access to AI technologies importance as a cornerstone for developing AI literacy and ensuring that all students have the opportunity to benefit from an AI-enhanced learning experience.,item_construct,1.0
it_000073,"Cooperation skills: An approach to developing students’ cooperation skills, emphasizing the role of AI in effective teamwork and in promoting cooperative interaction both in the classroom and in the wider social and professional sphere in context.",item_construct,1.0
it_000074,"Cooperation skills: An approach to developing students’ cooperation skills, emphasizing the role of AI in effective teamwork and in promoting cooperative interaction both in the classroom and in the wider social and professional sphere in context.",item_construct,1.0
it_000075,"Cooperation skills: An approach to developing students’ cooperation skills, emphasizing the role of AI in effective teamwork and in promoting cooperative interaction both in the classroom and in the wider social and professional sphere in context.",item_construct,1.0
it_000076,"Cooperation skills: An approach to developing students’ cooperation skills, emphasizing the role of AI in effective teamwork and in promoting cooperative interaction both in the classroom and in the wider social and professional sphere in context.",item_construct,1.0
it_000077,"Cooperation skills: An approach to developing students’ cooperation skills, emphasizing the role of AI in effective teamwork and in promoting cooperative interaction both in the classroom and in the wider social and professional sphere in context.",item_construct,1.0
it_000078,"Cooperation skills: An approach to developing students’ cooperation skills, emphasizing the role of AI in effective teamwork and in promoting cooperative interaction both in the classroom and in the wider social and professional sphere in context.",item_construct,1.0
it_000079,"Cooperation skills: An approach to developing students’ cooperation skills, emphasizing the role of AI in effective teamwork and in promoting cooperative interaction both in the classroom and in the wider social and professional sphere in context.",item_construct,1.0
it_000080,"Professional growth: The importance of self-determination, decision-making, and independent learning in the professional for development and evaluation in their practice.",item_construct,1.0
it_000081,"Professional growth: The importance of self-determination, decision-making, and independent learning in the professional for development and evaluation in their practice.",item_construct,1.0
it_000082,"Professional growth: The importance of self-determination, decision-making, and independent learning in the professional for development and evaluation in their practice.",item_construct,1.0
it_000083,"Professional growth: The importance of self-determination, decision-making, and independent learning in the professional for development and evaluation in their practice.",item_construct,1.0
it_000084,"Professional growth: The importance of self-determination, decision-making, and independent learning in the professional for development and evaluation in their practice.",item_construct,1.0
it_000085,"Professional growth: The importance of self-determination, decision-making, and independent learning in the professional for development and evaluation in their practice.",item_construct,1.0
it_000086,"Professional growth: The importance of self-determination, decision-making, and independent learning in the professional for development and evaluation in their practice.",item_construct,1.0
it_000087,"Making cross-curricular connections: How AI is used in learning, integrating AI so that tasks are related to real ones, and interdisciplinary connection to world problems.",item_construct,1.0
it_000088,"Making cross-curricular connections: How AI is used in learning, integrating AI so that tasks are related to real ones, and interdisciplinary connection to world problems.",item_construct,1.0
it_000089,"Making cross-curricular connections: How AI is used in learning, integrating AI so that tasks are related to real ones, and interdisciplinary connection to world problems.",item_construct,1.0
it_000090,"Making cross-curricular connections: How AI is used in learning, integrating AI so that tasks are related to real ones, and interdisciplinary connection to world problems.",item_construct,1.0
it_000091,"Making cross-curricular connections: How AI is used in learning, integrating AI so that tasks are related to real ones, and interdisciplinary connection to world problems.",item_construct,1.0
it_000092,"Making cross-curricular connections: How AI is used in learning, integrating AI so that tasks are related to real ones, and interdisciplinary connection to world problems.",item_construct,1.0
it_000093,Understanding of AI,item_construct,1.0
it_000094,Understanding of AI,item_construct,1.0
it_000095,Understanding of AI,item_construct,1.0
it_000096,Understanding of AI,item_construct,1.0
it_000097,Understanding of AI,item_construct,1.0
it_000098,Understanding of AI,item_construct,1.0
it_000099,Perception Applying AI,item_construct,1.0
it_000100,Perception Applying AI,item_construct,1.0
it_000101,Perception Applying AI,item_construct,1.0
it_000102,Perception Applying AI,item_construct,1.0
it_000103,Perception Applying AI,item_construct,1.0
it_000104,Perception Applying AI,item_construct,1.0
it_000105,Perception Applying AI,item_construct,1.0
it_000106,Perception Applying AI,item_construct,1.0
it_000107,Perception Applying AI,item_construct,1.0
it_000108,Perception Applying AI,item_construct,1.0
it_000109,Perception Applying AI,item_construct,1.0
it_000110,Perception Applying AI,item_construct,1.0
it_000111,Perception Applying AI,item_construct,1.0
it_000112,AI Ethics,item_construct,1.0
it_000113,AI Ethics,item_construct,1.0
it_000114,AI Ethics,item_construct,1.0
it_000115,AI Ethics,item_construct,1.0
it_000116,AI Ethics,item_construct,1.0
it_000117,AI Ethics,item_construct,1.0
it_000118,Methods to Enhance Teachers' AI Literacy,item_construct,1.0
it_000119,Methods to Enhance Teachers' AI Literacy,item_construct,1.0
it_000120,Methods to Enhance Teachers' AI Literacy,item_construct,1.0
it_000121,Methods to Enhance Teachers' AI Literacy,item_construct,1.0
it_000122,Methods to Enhance Teachers' AI Literacy,item_construct,1.0
it_000123,Methods to Enhance Teachers' AI Literacy,item_construct,1.0
it_000001,cluster_0,item_cluster,1.0
it_000002,cluster_0,item_cluster,1.0
it_000003,cluster_0,item_cluster,1.0
it_000004,cluster_0,item_cluster,1.0
it_000005,cluster_0,item_cluster,1.0
it_000006,cluster_0,item_cluster,1.0
it_000007,cluster_0,item_cluster,1.0
it_000008,cluster_0,item_cluster,1.0
it_000009,cluster_0,item_cluster,1.0
it_000010,cluster_0,item_cluster,1.0
it_000011,cluster_0,item_cluster,1.0
it_000012,cluster_0,item_cluster,1.0
it_000013,cluster_0,item_cluster,1.0
it_000014,cluster_0,item_cluster,1.0
it_000015,cluster_0,item_cluster,1.0
it_000016,cluster_0,item_cluster,1.0
it_000017,cluster_0,item_cluster,1.0
it_000018,cluster_0,item_cluster,1.0
it_000019,cluster_0,item_cluster,1.0
it_000020,cluster_0,item_cluster,1.0
it_000021,cluster_0,item_cluster,1.0
it_000022,cluster_0,item_cluster,1.0
it_000023,cluster_0,item_cluster,1.0
it_000024,cluster_2,item_cluster,1.0
it_000025,cluster_2,item_cluster,1.0
it_000026,cluster_2,item_cluster,1.0
it_000027,cluster_2,item_cluster,1.0
it_000028,cluster_2,item_cluster,1.0
it_000029,cluster_2,item_cluster,1.0
it_000030,cluster_2,item_cluster,1.0
it_000031,cluster_2,item_cluster,1.0
it_000032,cluster_2,item_cluster,1.0
it_000033,cluster_2,item_cluster,1.0
it_000034,cluster_2,item_cluster,1.0
it_000035,cluster_2,item_cluster,1.0
it_000036,cluster_2,item_cluster,1.0
it_000037,cluster_2,item_cluster,1.0
it_000038,cluster_2,item_cluster,1.0
it_000039,cluster_2,item_cluster,1.0
it_000040,cluster_2,item_cluster,1.0
it_000041,cluster_2,item_cluster,1.0
it_000042,cluster_2,item_cluster,1.0
it_000043,cluster_2,item_cluster,1.0
it_000044,cluster_2,item_cluster,1.0
it_000045,cluster_2,item_cluster,1.0
it_000046,cluster_2,item_cluster,1.0
it_000047,cluster_2,item_cluster,1.0
it_000048,cluster_2,item_cluster,1.0
it_000049,cluster_2,item_cluster,1.0
it_000050,cluster_2,item_cluster,1.0
it_000051,cluster_2,item_cluster,1.0
it_000052,cluster_2,item_cluster,1.0
it_000053,cluster_2,item_cluster,1.0
it_000054,cluster_2,item_cluster,1.0
it_000055,cluster_2,item_cluster,1.0
it_000056,cluster_2,item_cluster,1.0
it_000057,cluster_2,item_cluster,1.0
it_000058,cluster_2,item_cluster,1.0
it_000059,cluster_2,item_cluster,1.0
it_000060,cluster_2,item_cluster,1.0
it_000061,cluster_2,item_cluster,1.0
it_000062,cluster_2,item_cluster,1.0
it_000063,cluster_2,item_cluster,1.0
it_000064,cluster_2,item_cluster,1.0
it_000065,cluster_2,item_cluster,1.0
it_000066,cluster_2,item_cluster,1.0
it_000067,cluster_2,item_cluster,1.0
it_000068,cluster_2,item_cluster,1.0
it_000069,cluster_2,item_cluster,1.0
it_000070,cluster_2,item_cluster,1.0
it_000071,cluster_2,item_cluster,1.0
it_000072,cluster_2,item_cluster,1.0
it_000073,cluster_2,item_cluster,1.0
it_000074,cluster_2,item_cluster,1.0
it_000075,cluster_2,item_cluster,1.0
it_000076,cluster_2,item_cluster,1.0
it_000077,cluster_2,item_cluster,1.0
it_000078,cluster_2,item_cluster,1.0
it_000079,cluster_2,item_cluster,1.0
it_000080,cluster_2,item_cluster,1.0
it_000081,cluster_2,item_cluster,1.0
it_000082,cluster_2,item_cluster,1.0
it_000083,cluster_2,item_cluster,1.0
it_000084,cluster_2,item_cluster,1.0
it_000085,cluster_2,item_cluster,1.0
it_000086,cluster_2,item_cluster,1.0
it_000087,cluster_2,item_cluster,1.0
it_000088,cluster_2,item_cluster,1.0
it_000089,cluster_2,item_cluster,1.0
it_000090,cluster_2,item_cluster,1.0
it_000091,cluster_2,item_cluster,1.0
it_000092,cluster_2,item_cluster,1.0
it_000093,cluster_1,item_cluster,1.0
it_000094,cluster_1,item_cluster,1.0
it_000095,cluster_1,item_cluster,1.0
it_000096,cluster_1,item_cluster,1.0
it_000097,cluster_1,item_cluster,1.0
it_000098,cluster_1,item_cluster,1.0
it_000099,cluster_1,item_cluster,1.0
it_000100,cluster_1,item_cluster,1.0
it_000101,cluster_1,item_cluster,1.0
it_000102,cluster_1,item_cluster,1.0
it_000103,cluster_1,item_cluster,1.0
it_000104,cluster_1,item_cluster,1.0
it_000105,cluster_1,item_cluster,1.0
it_000106,cluster_1,item_cluster,1.0
it_000107,cluster_1,item_cluster,1.0
it_000108,cluster_1,item_cluster,1.0
it_000109,cluster_1,item_cluster,1.0
it_000110,cluster_1,item_cluster,1.0
it_000111,cluster_1,item_cluster,1.0
it_000112,cluster_3,item_cluster,1.0
it_000113,cluster_3,item_cluster,1.0
it_000114,cluster_3,item_cluster,1.0
it_000115,cluster_3,item_cluster,1.0
it_000116,cluster_3,item_cluster,1.0
it_000117,cluster_3,item_cluster,1.0
it_000118,cluster_1,item_cluster,1.0
it_000119,cluster_1,item_cluster,1.0
it_000120,cluster_1,item_cluster,1.0
it_000121,cluster_1,item_cluster,1.0
it_000122,cluster_1,item_cluster,1.0
it_000123,cluster_1,item_cluster,1.0
AI Ethics,cluster_3,construct_cluster,6.0
"Algorithmic thinking: Algorithmic thinking skills and how these skills contribute to general AI literacy. The purpose is to promote a proactive approach to developing these competencies, recognizing their value in moving forward more digital and AI-integrated educational environments.",cluster_2,construct_cluster,7.0
"Cooperation skills: An approach to developing students’ cooperation skills, emphasizing the role of AI in effective teamwork and in promoting cooperative interaction both in the classroom and in the wider social and professional sphere in context.",cluster_2,construct_cluster,7.0
"Ethical considerations: Ethical aspects of AI technologies, promoting a balanced approach that considers both integrations of AI benefits as well as potential ethical issues.",cluster_2,construct_cluster,7.0
"Evaluation: The ability to critically evaluate the importance of AI in the learning process, not only ensuring the effective use of AI but also to understand and reflect on the wider implications of integrating AI into the learning process.",cluster_2,construct_cluster,7.0
Identification: Ability to identify and understand the basic principles of using AI,cluster_2,construct_cluster,7.0
Intelligent TCK,cluster_0,construct_cluster,4.0
Intelligent TK,cluster_0,construct_cluster,5.0
Intelligent TPACK,cluster_0,construct_cluster,7.0
Intelligent TPK,cluster_0,construct_cluster,7.0
"Knowledge of the existence and potential of AI tools, understanding of how these tools could be integrated in learning, and a conceptual understanding of the criteria for the selection and use of AI resources.",cluster_2,construct_cluster,7.0
"Making cross-curricular connections: How AI is used in learning, integrating AI so that tasks are related to real ones, and interdisciplinary connection to world problems.",cluster_2,construct_cluster,6.0
Methods to Enhance Teachers' AI Literacy,cluster_1,construct_cluster,6.0
Perception Applying AI,cluster_1,construct_cluster,13.0
"Practical experience: Hands-on experience using AI tools, including ability to use AI tools and integrate multiple AI resources for different purposes and improve your personal skills.",cluster_2,construct_cluster,7.0
"Professional growth: The importance of self-determination, decision-making, and independent learning in the professional for development and evaluation in their practice.",cluster_2,construct_cluster,7.0
The digital divide: The role of the educator in bridging the digital divide by emphasizing physical access to AI technologies importance as a cornerstone for developing AI literacy and ensuring that all students have the opportunity to benefit from an AI-enhanced learning experience.,cluster_2,construct_cluster,7.0
Understanding of AI,cluster_1,construct_cluster,6.0
